Timestamp,Vehicle_Count
2022-02-13 22-07-45,0
2022-02-13 22-09-25,0
2022-02-13 22-14-25,0
2022-02-13 22-19-45,3
2022-02-13 22-24-05,0
2022-02-13 22-29-26,0
2022-02-13 22-38-26,4
2022-02-13 22-41-06,1
2022-02-13 22-44-46,0
2022-02-13 22-50-46,1
2022-02-13 23-00-07,0
2022-02-13 23-04-07,1
2022-02-13 23-08-47,0
2022-02-13 23-15-07,1
2022-02-13 23-21-08,1
2022-02-13 23-24-08,0
2022-02-13 23-27-28,0
2022-02-13 23-33-48,1
2022-02-13 23-38-08,2
2022-02-13 23-44-28,0
2022-02-13 23-49-49,0
2022-02-13 23-53-49,1
2022-02-13 23-58-49,0
2022-02-14 00-02-49,1
2022-02-14 00-07-49,0
2022-02-14 00-13-50,0
2022-02-14 00-19-50,0
2022-02-14 00-25-30,0
2022-02-14 00-31-10,0
2022-02-14 00-33-50,0
2022-02-14 00-40-11,0
2022-02-14 00-45-11,0
2022-02-14 00-50-51,1
2022-02-14 00-54-31,0
2022-02-14 01-00-11,0
2022-02-14 01-04-12,0
2022-02-14 01-09-52,0
2022-02-14 01-17-12,0
2022-02-14 01-19-52,0
2022-02-14 01-24-32,0
2022-02-14 01-29-12,0
2022-02-14 01-35-13,0
2022-02-14 01-39-13,0
2022-02-14 01-44-13,0
2022-02-14 01-50-13,0
2022-02-14 01-53-33,0
2022-02-14 01-58-54,0
2022-02-14 02-03-14,0
2022-02-14 02-12-34,0
2022-02-14 02-13-54,0
2022-02-14 02-20-14,0
2022-02-14 02-24-34,0
2022-02-14 02-30-15,0
2022-02-14 02-34-35,0
2022-02-14 02-39-15,0
2022-02-14 02-44-15,0
2022-02-14 02-50-35,0
2022-02-14 02-54-16,0
2022-02-14 02-59-36,0
2022-02-14 03-04-36,0
2022-02-14 03-11-16,0
2022-02-14 03-13-36,0
2022-02-14 03-20-37,0
2022-02-14 03-26-57,0
2022-02-14 03-29-57,0
2022-02-14 03-35-57,0
2022-02-14 03-39-17,0
2022-02-14 03-43-18,0
2022-02-14 03-48-18,0
2022-02-14 03-53-58,0
2022-02-14 03-59-38,0
2022-02-14 04-04-18,0
2022-02-14 04-09-19,0
2022-02-14 04-13-39,0
2022-02-14 04-20-19,0
2022-02-14 04-23-19,0
2022-02-14 04-30-39,0
2022-02-14 04-33-40,0
2022-02-14 04-41-20,0
2022-02-14 04-43-40,0
2022-02-14 04-50-00,0
2022-02-14 04-54-20,0
2022-02-14 04-59-41,0
2022-02-14 05-05-41,0
2022-02-14 05-08-41,0
2022-02-14 05-14-21,0
2022-02-14 05-20-02,0
2022-02-14 05-26-02,0
2022-02-14 05-29-02,1
2022-02-14 05-35-22,0
2022-02-14 05-39-22,0
2022-02-14 05-44-02,0
2022-02-14 05-50-43,0
2022-02-14 05-55-03,0
2022-02-14 05-58-43,0
2022-02-14 06-05-23,0
2022-02-14 06-09-43,0
2022-02-14 06-14-23,3
2022-02-14 06-20-44,2
2022-02-14 06-29-44,2
2022-02-14 06-34-04,4
2022-02-14 06-40-24,1
2022-02-14 06-44-04,7
2022-02-14 06-50-05,8
2022-02-14 06-56-05,4
2022-02-14 06-58-45,6
2022-02-14 07-05-05,5
2022-02-14 07-09-45,6
2022-02-14 07-14-46,7
2022-02-14 07-20-06,12
2022-02-14 07-26-46,12
2022-02-14 07-29-46,13
2022-02-14 07-37-06,15
2022-02-14 07-42-47,13
2022-02-14 07-45-27,10
2022-02-14 07-50-27,16
2022-02-14 07-57-27,16
2022-02-14 08-01-47,11
2022-02-14 08-06-07,17
2022-02-14 08-15-08,16
2022-02-14 08-21-48,15
2022-02-14 08-23-48,15
2022-02-14 08-29-28,14
2022-02-14 08-35-49,12
2022-02-14 08-40-09,14
2022-02-14 08-45-09,9
2022-02-14 08-50-29,17
2022-02-14 08-56-49,10
2022-02-14 09-02-09,8
2022-02-14 09-14-30,8
2022-02-14 09-15-10,15
2022-02-14 09-19-50,14
2022-02-14 09-26-50,14
2022-02-14 09-30-50,14
2022-02-14 09-37-51,13
2022-02-14 09-41-51,11
2022-02-14 09-45-11,10
2022-02-14 09-49-51,12
2022-02-14 09-57-11,8
2022-02-14 10-00-31,9
2022-02-14 10-14-32,2
2022-02-14 10-16-32,9
2022-02-14 10-20-52,6
2022-02-14 10-25-52,6
2022-02-14 10-32-12,6
2022-02-14 10-37-13,9
2022-02-14 10-41-33,8
2022-02-14 10-46-53,5
2022-02-14 10-50-33,2
2022-02-14 10-56-53,3
2022-02-14 11-00-13,7
2022-02-14 11-06-33,8
2022-02-14 11-12-14,3
2022-02-14 11-17-14,6
2022-02-14 11-23-14,2
2022-02-14 11-34-55,8
2022-02-14 11-37-55,8
2022-02-14 11-42-55,4
2022-02-14 11-50-15,8
2022-02-14 11-56-15,10
2022-02-14 12-00-15,1
2022-02-14 12-08-36,11
2022-02-14 12-13-56,7
2022-02-14 12-15-16,10
2022-02-14 12-22-56,11
2022-02-14 12-25-56,9
2022-02-14 12-31-56,9
2022-02-14 12-38-37,10
2022-02-14 12-39-17,8
2022-02-14 12-44-37,6
2022-02-14 12-51-17,8
2022-02-14 12-56-37,8
2022-02-14 13-01-57,3
2022-02-14 13-06-18,4
2022-02-14 13-08-58,4
2022-02-14 13-13-58,5
2022-02-14 13-20-58,4
2022-02-14 13-30-38,5
2022-02-14 13-35-59,5
2022-02-14 13-41-59,5
